serial,day,month,year,season,fish_id,species,tl_mm,wt_g,lat,long
117,18,6,2013,Spring,1,White Bass,284,298,41.7804,-82.8498
117,18,6,2013,Spring,2,White Bass,300,310,41.7804,-82.8498
117,18,6,2013,Spring,3,White Bass,169,61,41.7804,-82.8498
117,18,6,2013,Spring,4,White Bass,170,58,41.7804,-82.8498
117,18,6,2013,Spring,5,White Bass,135,25,41.7804,-82.8498
117,18,6,2013,Spring,6,White Bass,155,40,41.7804,-82.8498
117,18,6,2013,Spring,7,White Bass,166,47,41.7804,-82.8498
117,18,6,2013,Spring,8,White Bass,183,72,41.7804,-82.8498
117,18,6,2013,Spring,9,White Bass,165,47,41.7804,-82.8498
117,18,6,2013,Spring,10,White Bass,150,33,41.7804,-82.8498
117,18,6,2013,Spring,11,White Bass,182,67,41.7804,-82.8498
117,18,6,2013,Spring,12,White Bass,190,81,41.7804,-82.8498
117,18,6,2013,Spring,13,White Bass,173,62,41.7804,-82.8498
117,18,6,2013,Spring,14,White Perch,170,63,41.7804,-82.8498
117,18,6,2013,Spring,15,White Perch,166,57,41.7804,-82.8498
117,18,6,2013,Spring,16,White Perch,170,64,41.7804,-82.8498
117,18,6,2013,Spring,17,White Perch,168,59,41.7804,-82.8498
117,18,6,2013,Spring,18,White Perch,103,14,41.7804,-82.8498
117,18,6,2013,Spring,19,White Perch,145,40,41.7804,-82.8498
117,18,6,2013,Spring,20,White Perch,75,7,41.7804,-82.8498
117,18,6,2013,Spring,21,White Perch,81,8,41.7804,-82.8498
117,18,6,2013,Spring,22,White Perch,231,188,41.7804,-82.8498
117,18,6,2013,Spring,23,White Perch,306,430,41.7804,-82.8498
117,18,6,2013,Spring,24,White Perch,222,153,41.7804,-82.8498
117,18,6,2013,Spring,25,White Perch,245,199,41.7804,-82.8498
117,18,6,2013,Spring,26,White Perch,274,286,41.7804,-82.8498
117,18,6,2013,Spring,27,White Perch,222,167,41.7804,-82.8498
117,18,6,2013,Spring,28,White Perch,211,110,41.7804,-82.8498
117,18,6,2013,Spring,29,White Perch,251,250,41.7804,-82.8498
117,18,6,2013,Spring,30,White Perch,240,195,41.7804,-82.8498
117,18,6,2013,Spring,31,White Perch,214,130,41.7804,-82.8498
117,18,6,2013,Spring,32,Trout Perch,93,9,41.7804,-82.8498
117,18,6,2013,Spring,33,Trout Perch,85,7,41.7804,-82.8498
117,18,6,2013,Spring,34,Trout Perch,89,7,41.7804,-82.8498
117,18,6,2013,Spring,35,Trout Perch,112,16,41.7804,-82.8498
117,18,6,2013,Spring,36,Trout Perch,108,15,41.7804,-82.8498
117,18,6,2013,Spring,37,Trout Perch,116,15,41.7804,-82.8498
117,18,6,2013,Spring,38,Trout Perch,85,8,41.7804,-82.8498
117,18,6,2013,Spring,39,Trout Perch,83,7,41.7804,-82.8498
117,18,6,2013,Spring,40,Trout Perch,80,7,41.7804,-82.8498
117,18,6,2013,Spring,41,Trout Perch,86,8,41.7804,-82.8498
117,18,6,2013,Spring,42,Yellow Perch,115,18,41.7804,-82.8498
117,18,6,2013,Spring,43,Yellow Perch,126,21,41.7804,-82.8498
117,18,6,2013,Spring,44,Yellow Perch,118,14,41.7804,-82.8498
117,18,6,2013,Spring,45,Yellow Perch,90,7,41.7804,-82.8498
117,18,6,2013,Spring,46,Yellow Perch,105,14,41.7804,-82.8498
117,18,6,2013,Spring,47,Yellow Perch,104,13,41.7804,-82.8498
117,18,6,2013,Spring,48,Yellow Perch,96,9,41.7804,-82.8498
117,18,6,2013,Spring,49,Yellow Perch,103,11,41.7804,-82.8498
117,18,6,2013,Spring,50,Yellow Perch,107,12,41.7804,-82.8498
117,18,6,2013,Spring,51,Yellow Perch,102,10,41.7804,-82.8498
117,18,6,2013,Spring,52,Yellow Perch,105,13,41.7804,-82.8498
117,18,6,2013,Spring,53,Yellow Perch,176,67,41.7804,-82.8498
117,18,6,2013,Spring,54,Yellow Perch,164,46,41.7804,-82.8498
117,18,6,2013,Spring,55,Yellow Perch,182,65,41.7804,-82.8498
117,18,6,2013,Spring,56,Yellow Perch,176,60,41.7804,-82.8498
117,18,6,2013,Spring,57,Yellow Perch,188,78,41.7804,-82.8498
117,18,6,2013,Spring,58,Yellow Perch,175,66,41.7804,-82.8498
117,18,6,2013,Spring,59,Yellow Perch,187,64,41.7804,-82.8498
117,18,6,2013,Spring,60,Yellow Perch,168,49,41.7804,-82.8498
117,18,6,2013,Spring,61,Yellow Perch,195,82,41.7804,-82.8498
117,18,6,2013,Spring,62,Yellow Perch,197,78,41.7804,-82.8498
117,18,6,2013,Spring,63,Yellow Perch,240,153,41.7804,-82.8498
117,18,6,2013,Spring,64,Yellow Perch,276,283,41.7804,-82.8498
117,18,6,2013,Spring,65,Yellow Perch,235,160,41.7804,-82.8498
